Company Name,CityU URL
Data Analysis for Web3 (DAW),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/data-analysis-web3-daw
Datality Lab Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/datality-lab
DataLouder Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/datalouder
Dayson,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dayson
DAYTA AI,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/dayta-ai
Deep Immune,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deep-immune
Deep-Rx,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deep-rx
DeepGreen,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deepgreen
DeepSeq2Drug,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deepseq2drug
define CLEAN,https://www.cityu.edu.hk/hktech300/start-ups/define-clean
Delivery Ape,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/delivery-ape
DeltaDeFi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deltadefi
Dentell,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dentell
Designhub,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/designhub
Development of anticancer drug candidates using synthetic biology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/development-of-anticancer-drug
Digital traffic-management platform for low-altitude urban drone delivery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/digital-traffic-management-platform
Digital Twin Technologies on Equine & Horse Welfare Management,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/equine-and-horse-welfare-management
Digital Universal Network,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/digital-universal-network
Digital Vision Brands Holdings Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/digital-vision-brands-holdings-limited
Doctech HK Limited,https://www.cityu.edu.hk/hktech300/start-ups/doctech-hk-limited
DoctorDwelling,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/doctordwelling
Dory iGarden Ltd.,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/dory-igarden
Dotato,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dotato
dpAuth,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dpauth
Dr Nature,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dr-nature
Dr Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dr-skin
"Dream Aquaculture, Help Farming (DAHF)",https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dream-aquaculture-help-farming-dahf
DROP System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/drop-system
E Farm Biotech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/e-farm-biotech
E-Painter,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e-painter
E-Predictor – AI prediction & simulation for building energy consumption and carbon emissions,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e-predictor
E-VITY LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/e-vity-limited
E2Pilot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e2pilot
E3A Healthcare Pte Limited,https://www.cityu.edu.hk/hktech300/start-ups/e3a-healthcare-pte-limited
EacyCar,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eacycar
EARS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ears
Earthy Bowl,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/earthy-bowl
Easy Tow,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/easy-tow
Eat100,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eat100
Eco-engineered solutions for artificial shoreline restoration,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eco-engineered-solutions
EconBlocTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/econbloctech
EcoNexus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/econexus
eCoupon4U,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ecoupon4u
EcoverseX: Embrace Sustainability,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ecoversex-embrace-sustainability
EdHub,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edhub
EdPark,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edpark
EduGPT – Immersive General Education System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edugpt-immersive-general-education-system
Edxtore,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edxtore
Efficient solar hydrogen production technology for green shipping,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/solar-hydrogen-production-technology
EGGPO,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eggpo
Elastick Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/elastick-tech
Elderberry,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/elderberry
Electro-Ohmics,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/electro-ohmics
Electrochemical reactor based on graphene in marine recirculating aquaculture systems (RAS),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/electrochemical-reactor
EmCore Protection,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/emcore-protection
Emosleep,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/emosleep
Energy-Efficient and Self- Regulating Smart Electrochemical Reactor for Inorganic/Organic Pollutant Degradation in Wastewater,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-electrochemical-reactor
Environmental Star,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/environmental-star
Epiphany,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/epiphany
Eradication of counterfeit medicines from the medical supply chain using blockchain and IoT devices,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eradication-of-counterfeit-medicines
Ergotek Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/ergotek
ESG and Green Finance Education Group,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-and-green-finance-education-group
